tenure_months,monthly_spend,orders_per_month,support_tickets,uses_discounts,app_sessions,churn
6,884.96,4,1,0,12,0
29,231.32,1,0,1,13,0
70,2962.55,5,1,1,14,0
22,822.95,2,1,1,14,0
10,2481.65,2,1,0,12,1
35,672.21,3,1,1,16,0
37,994.08,2,2,0,9,0
48,1371.18,3,1,0,11,0
23,1108.34,3,1,1,6,0
68,2435.38,5,4,1,10,0
37,2881.54,3,0,0,17,0
21,2650.82,4,0,1,10,0
69,630.02,2,1,0,13,0
66,2374.73,4,2,1,9,0
36,614.25,1,0,0,7,0
2,2757.47,1,1,0,14,0
43,1650.06,5,1,1,13,0
40,1141.87,2,2,0,9,0
11,639.67,0,0,0,15,0
46,233.07,4,1,0,9,0
60,894.25,2,4,0,7,0
8,2759.26,5,2,1,14,0
52,2432.33,3,2,0,8,0
10,2915.42,3,1,1,7,0
54,482.13,7,1,1,12,0
30,1858.1,5,1,1,16,1
1,920.02,2,4,1,6,0
69,1720.24,4,1,0,11,0
12,1097.27,3,2,0,10,0
43,993.7,4,0,1,9,0
13,1806.77,7,1,0,11,0
67,713.29,4,2,0,13,0
53,1513.57,4,2,0,10,0
58,2022.27,7,0,1,13,0
31,558.91,0,0,0,12,0
34,2805.66,4,2,0,12,0
46,1616.03,4,1,0,8,0
56,2494.68,4,0,1,11,0
61,2030.94,3,0,0,7,0
2,2188.0,4,2,0,15,0
48,2205.17,3,0,0,8,0
8,2650.28,5,2,0,11,0
21,1918.1,1,0,0,10,0
59,979.01,3,1,0,14,0
18,478.63,1,0,0,13,0
57,1897.5,2,2,0,19,0
33,385.79,4,0,0,10,0
17,875.62,0,0,0,12,0
24,369.98,1,2,1,15,0
38,1736.89,6,1,1,9,0
55,648.95,5,2,0,10,0
44,1909.14,6,1,0,15,0
67,2414.42,1,1,1,10,0
62,2501.27,2,1,1,4,0
54,1066.72,4,1,0,12,0
43,1737.07,3,1,0,13,0
21,1776.43,1,0,1,9,0
30,1524.08,3,1,0,13,0
9,2034.32,4,1,1,17,0
27,788.24,2,1,1,8,0
66,2941.88,1,0,0,16,0
31,474.62,2,0,1,7,0
9,2521.82,5,1,1,9,0
47,1863.47,4,3,0,10,0
69,885.59,3,1,1,14,0
62,2287.89,4,1,1,16,0
20,436.55,3,3,1,17,0
33,2368.37,2,2,1,15,0
38,1851.96,0,3,0,19,0
18,510.1,5,0,0,12,0
20,422.62,1,0,0,15,0
17,2302.34,4,0,0,10,0
71,1020.22,3,1,1,7,0
53,2690.05,1,2,0,12,0
60,2333.8,3,1,0,9,0
58,2154.93,2,0,1,10,0
69,980.1,4,1,0,7,0
8,2185.04,3,0,0,12,1
63,2854.81,3,2,0,13,0
5,456.37,2,1,0,5,0
34,1113.26,3,1,1,7,0
43,857.08,2,0,1,13,1
26,1301.1,7,1,0,12,0
11,2278.53,1,0,1,9,0
14,1527.88,1,3,0,8,1
59,1798.05,1,1,0,16,1
23,1079.63,5,1,0,18,0
23,595.61,4,2,0,16,0
66,947.41,4,0,0,13,0
11,2607.1,0,0,1,8,0
65,1886.77,5,1,0,9,0
66,1258.37,3,1,1,7,0
43,2411.74,2,1,1,11,0
12,380.48,4,0,0,16,0
12,910.9,3,0,0,11,0
21,844.29,4,0,0,9,0
41,2959.02,2,0,0,18,0
11,2177.08,8,0,1,18,0
33,1929.8,2,2,0,16,0
9,213.96,3,3,1,9,0
39,716.07,2,4,0,10,0
2,1979.52,0,2,0,14,1
51,1263.21,3,0,0,12,0
4,2787.99,3,2,1,12,0
14,2341.23,3,0,0,14,0
13,1452.68,1,1,1,12,1
60,2298.64,1,1,1,11,0
4,2931.13,3,0,1,14,0
31,1490.75,8,3,1,9,1
42,1999.07,2,0,0,15,0
37,2772.26,1,0,0,9,0
49,896.29,6,4,0,6,0
58,2682.36,3,0,0,11,0
28,473.13,3,1,1,5,0
59,2015.65,1,2,0,11,1
23,2391.95,3,1,0,14,0
70,1920.9,7,2,0,7,0
36,1587.5,3,1,0,10,0
53,1928.57,0,4,1,10,1
63,624.66,4,0,1,21,0
57,803.6,2,0,0,8,0
61,955.72,4,2,1,16,0
39,1873.78,2,1,1,9,0
4,1437.32,5,2,0,7,0
36,884.53,3,2,1,19,0
13,2671.87,3,1,0,13,0
64,1246.98,3,1,0,12,0
17,1448.89,2,1,1,12,0
17,1347.16,1,0,0,9,0
18,709.44,0,1,1,18,0
46,2248.56,2,2,1,8,0
41,1455.68,1,0,0,15,0
68,245.52,1,2,0,7,0
30,2899.24,5,0,0,14,0
21,2484.14,1,1,0,7,1
4,2225.97,4,2,0,18,0
1,2633.46,2,2,1,13,0
27,2739.06,0,0,1,18,0
66,1144.97,6,1,1,12,0
38,1910.68,0,0,1,11,0
64,1904.66,5,0,1,18,0
8,948.44,3,0,1,10,0
7,821.47,4,0,1,8,0
60,518.94,1,0,1,11,0
8,2046.08,4,0,1,5,0
4,2386.57,1,0,0,15,0
29,2330.67,3,0,1,6,0
66,1085.57,1,1,0,14,0
49,774.73,4,1,0,13,0
8,1470.12,1,1,0,13,0
60,1731.08,2,0,1,12,0
60,2773.44,0,1,0,14,0
57,2649.5,3,2,0,11,0
65,2764.96,3,0,0,15,0
18,2580.73,3,0,1,16,0
70,2900.83,2,4,0,13,0
23,1503.4,3,0,1,11,0
57,332.93,2,1,1,12,0
42,433.97,3,1,0,13,0
56,1292.77,7,0,1,13,0
45,921.52,3,0,1,7,0
46,675.83,5,1,1,9,0
44,2868.97,3,0,0,9,0
56,747.17,3,0,1,13,0
53,2886.26,4,2,0,7,0
10,2330.35,3,1,1,12,0
59,1994.65,2,1,1,10,0
39,2092.85,4,0,0,16,0
23,1128.13,3,0,0,16,0
37,2010.0,4,2,0,10,0
69,722.74,0,1,1,7,0
61,2825.58,4,1,1,10,0
60,1045.02,6,3,0,18,0
33,914.52,3,2,1,13,0
56,2191.26,2,3,1,11,0
28,2038.06,0,0,0,16,0
49,1463.64,2,2,0,11,0
46,1970.85,2,1,1,10,0
18,646.58,3,2,1,17,0
19,2085.32,3,2,0,7,0
5,957.71,1,1,1,19,0
10,963.94,7,0,0,11,0
31,654.1,2,2,1,6,0
34,1130.66,2,1,1,7,0
12,1127.5,2,0,1,17,0
30,1471.7,4,1,1,11,0
43,733.17,1,3,0,12,1
17,740.42,3,1,0,10,0
25,1716.87,2,0,1,13,0
27,560.86,2,5,0,16,0
36,2128.91,4,1,1,9,0
27,2843.05,3,3,1,14,0
53,1395.03,2,2,1,11,0
24,2723.09,5,1,1,12,0
31,475.29,6,3,0,12,0
27,320.28,4,2,0,16,0
13,2219.83,4,1,0,21,0
49,2330.86,0,1,0,11,0
17,2560.56,3,2,0,13,0
22,359.09,0,2,1,13,0
57,2375.34,6,0,1,9,0
68,1254.31,4,2,0,7,0
48,1049.35,3,1,1,6,0
66,684.47,4,0,1,12,0
61,2988.84,4,2,0,14,0
35,378.26,5,2,0,15,0
55,2515.62,2,0,1,13,0
24,1990.58,4,0,0,11,0
33,2258.23,2,3,0,15,1
39,2192.81,6,0,1,14,0
69,2603.62,4,0,0,11,0
61,714.62,2,0,0,13,0
35,202.31,4,1,0,10,0
47,1875.88,1,0,1,15,0
15,1190.8,1,0,0,5,0
58,546.6,1,1,0,9,0
40,721.19,0,0,0,7,0
38,1128.9,2,2,0,15,0
55,396.65,2,3,1,8,1
45,359.36,4,2,1,15,0
6,2764.87,1,1,1,15,1
21,1073.89,0,2,0,13,0
13,2950.25,2,0,1,11,0
53,2900.23,2,1,1,12,0
3,599.2,1,2,0,9,0
15,2201.79,3,3,0,18,1
43,1882.25,2,0,1,16,0
50,2133.81,4,0,1,11,0
36,469.33,3,1,0,8,0
62,727.97,5,0,1,8,0
66,414.59,3,2,0,13,0
10,1891.58,2,1,0,7,0
68,2962.46,4,3,0,7,0
44,2081.56,0,0,0,19,0
46,2190.13,0,1,0,15,0
7,2956.84,2,0,1,15,1
45,2098.43,3,3,1,9,0
52,312.51,2,3,1,8,0
42,2627.62,3,2,1,12,0
6,1221.1,6,2,0,12,0
38,212.22,2,1,1,13,0
67,1620.26,1,3,1,10,0
52,2823.64,1,1,0,11,0
10,920.53,4,2,1,15,0
69,1576.24,1,0,1,8,0
69,686.58,7,2,0,11,0
13,361.54,1,3,1,25,1
57,425.53,3,1,1,12,0
29,2235.63,3,1,1,17,0
43,2619.41,2,0,0,12,0
32,601.24,0,1,1,15,0
56,1007.29,2,2,1,18,0
71,746.08,1,1,0,11,0
57,275.2,1,1,1,13,0
67,1749.61,6,4,0,8,0
68,2159.78,6,2,1,12,0
7,2014.06,2,0,1,7,0
18,1286.55,3,0,1,13,0
52,1754.03,4,4,0,10,1
42,463.48,2,1,0,15,0
4,632.05,0,1,1,10,0
7,2809.02,5,0,1,14,0
37,2332.22,4,2,0,16,0
44,2783.67,4,0,1,9,0
12,2766.7,5,1,0,11,0
13,2018.3,6,2,0,20,0
10,2799.07,2,1,0,13,0
41,1366.77,6,0,0,13,0
1,210.13,4,1,0,16,0
41,375.2,2,0,0,12,0
34,506.56,1,4,1,12,0
34,466.99,5,1,1,7,0
49,1184.77,4,3,1,15,0
38,2163.56,3,1,0,13,0
52,2413.82,5,0,1,13,0
55,1852.6,4,2,0,17,0
66,610.02,5,1,0,10,0
57,2294.12,4,1,1,10,0
37,1193.45,3,1,0,14,0
35,236.38,2,2,1,14,1
17,985.65,1,2,0,13,0
43,1125.68,4,1,0,11,0
10,967.89,0,3,1,14,0
67,2473.24,2,2,1,14,0
60,2327.79,5,2,0,17,0
9,2147.55,4,0,1,9,0
56,589.21,2,0,0,15,0
9,2461.93,4,0,1,6,0
52,2096.09,3,0,0,16,0
7,745.55,4,2,0,14,0
35,2014.66,0,0,0,10,0
47,1553.83,2,1,0,7,1
52,1430.18,2,0,1,14,0
30,513.94,0,1,0,10,0
66,1651.25,2,1,1,12,0
55,479.81,3,1,0,15,0
15,659.91,2,1,0,12,0
48,571.13,1,2,0,10,0
52,2871.5,3,1,0,17,0
24,997.62,5,2,1,14,0
53,1194.57,4,0,0,10,0
64,1101.83,2,3,1,8,1
59,2715.1,4,1,1,18,0
55,1776.3,3,5,1,11,0
46,2773.65,4,1,0,14,0
20,1039.79,4,1,1,10,0
57,521.54,2,0,1,18,0
26,1757.41,4,1,1,15,0
38,1167.5,2,0,1,12,0
23,2445.34,2,1,1,7,0
23,2662.39,4,2,1,11,0
12,1523.21,2,2,0,9,0
69,2919.81,3,1,1,5,0
11,1748.44,6,0,1,11,0
7,958.58,1,1,1,8,0
67,1569.13,4,1,1,5,0
40,304.47,0,1,0,12,0
32,2451.2,4,2,0,9,0
53,484.02,2,0,1,15,0
28,1064.5,5,1,0,13,0
10,1782.89,5,0,1,14,0
52,320.33,2,2,1,9,0
13,422.09,2,1,0,10,0
40,2149.13,6,1,0,15,0
68,400.98,2,1,0,8,0
67,1535.83,6,1,1,10,0
26,1148.35,1,2,0,11,0
56,838.62,3,0,0,12,0
44,728.58,5,2,1,5,1
35,2337.55,2,0,1,15,0
10,2864.32,5,3,0,12,0
27,592.5,5,1,0,6,1
47,2887.11,2,1,0,15,1
71,1865.34,4,2,0,12,0
1,1996.65,3,1,1,10,0
51,2187.79,5,1,1,7,0
61,2171.53,1,0,0,9,0
68,2495.47,6,1,0,12,0
31,1553.71,5,1,1,11,0
9,1693.4,3,2,0,9,0
20,1106.72,5,0,1,12,0
61,494.72,4,1,0,6,0
63,2060.99,2,1,1,6,0
46,294.11,1,2,0,4,0
9,971.78,3,0,1,11,0
9,463.84,8,4,0,13,0
34,734.04,3,1,1,15,0
42,1988.45,4,2,0,15,0
3,1959.73,3,1,1,10,0
49,1378.95,2,1,0,11,0
39,452.48,5,1,0,11,0
1,1413.45,0,2,1,13,0
7,1187.69,1,1,1,5,0
33,2217.29,2,2,1,14,1
52,1821.27,5,3,1,18,0
59,1576.38,6,2,0,9,0
31,1563.55,6,0,0,12,0
21,2905.63,2,1,1,17,1
69,2317.62,6,5,1,14,1
33,1591.54,4,3,1,13,0
23,1541.82,5,0,1,16,0
32,274.14,4,0,1,18,0
1,2839.03,2,5,1,11,1
22,1093.69,0,1,1,9,0
37,916.63,7,0,1,8,0
66,2998.34,0,2,0,9,0
53,2212.33,4,2,1,19,0
56,332.62,5,1,0,11,0
39,373.28,6,1,1,19,0
8,271.4,3,1,1,12,0
28,1878.93,6,2,1,10,0
71,400.38,4,3,1,9,0
4,2813.49,4,0,0,10,1
63,2823.34,3,2,0,14,0
49,1728.95,5,2,0,15,0
21,1926.59,2,2,0,11,0
56,1017.3,4,0,1,15,0
60,379.12,5,0,0,19,0
4,2264.89,2,1,0,14,0
8,485.0,3,0,0,7,1
48,439.56,1,0,0,9,0
71,1071.42,3,2,1,10,0
2,234.9,3,4,0,10,1
48,1415.3,2,1,0,17,0
10,2181.51,2,2,0,14,0
47,2443.78,3,0,1,10,0
45,1892.06,2,3,0,7,0
7,2571.25,5,1,1,15,1
49,1338.21,0,3,0,10,0
64,2576.56,3,1,0,16,0
62,1618.13,2,0,1,12,0
3,824.5,5,2,1,15,0
18,2843.61,2,1,1,12,1
18,969.92,4,0,0,4,0
33,273.36,6,1,0,12,0
